N,regen,protocol,memory,seed,U_total,cooperation,gini,stability_var,collapsed,t_collapse,U_per_agent
3,5,mediator,M0,0,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 90, 30]"
3,5,mediator,M0,1,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 30, 90]"
3,5,mediator,M0,2,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 30, 90]"
3,5,mediator,M0,3,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 90, 30]"
3,5,mediator,M0,4,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 30, 90]"
3,5,mediator,M1,0,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 90, 30]"
3,5,mediator,M1,1,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 30, 90]"
3,5,mediator,M1,2,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 30, 90]"
3,5,mediator,M1,3,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 90, 30]"
3,5,mediator,M1,4,150,0.4444444444444444,0.26666666666666683,0.0,0,-1,"[30, 30, 90]"
3,3,no_chat,M0,0,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,no_chat,M0,1,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,no_chat,M0,2,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,no_chat,M0,3,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,no_chat,M0,4,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,no_chat,M1,0,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,no_chat,M1,1,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,no_chat,M1,2,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,no_chat,M1,3,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,no_chat,M1,4,99,0.6333333333333333,0.0,0.15666666666666668,0,-1,"[33, 33, 33]"
3,3,roundtable,M0,0,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 30, 39]"
3,3,roundtable,M0,1,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 39, 30]"
3,3,roundtable,M0,2,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 30, 39]"
3,3,roundtable,M0,3,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[39, 30, 30]"
3,3,roundtable,M0,4,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 39, 30]"
3,3,roundtable,M1,0,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 30, 39]"
3,3,roundtable,M1,1,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 39, 30]"
3,3,roundtable,M1,2,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 30, 39]"
3,3,roundtable,M1,3,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[39, 30, 30]"
3,3,roundtable,M1,4,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 39, 30]"
3,3,mediator,M0,0,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 30, 39]"
3,3,mediator,M0,1,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 39, 30]"
3,3,mediator,M0,2,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 30, 39]"
3,3,mediator,M0,3,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[39, 30, 30]"
3,3,mediator,M0,4,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 39, 30]"
3,3,mediator,M1,0,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 30, 39]"
3,3,mediator,M1,1,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 39, 30]"
3,3,mediator,M1,2,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 30, 39]"
3,3,mediator,M1,3,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[39, 30, 30]"
3,3,mediator,M1,4,99,0.6333333333333333,0.060606060606060774,0.11444444444444445,0,-1,"[30, 39, 30]"
5,8,no_chat,M0,0,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[38, 90, 38, 38, 38]"
5,8,no_chat,M0,1,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[38, 38, 38, 90, 38]"
5,8,no_chat,M0,2,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[38, 38, 38, 38, 90]"
5,8,no_chat,M0,3,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[90, 38, 38, 38, 38]"
