phase,N,regen,protocol,memory,seed,U_total,cooperation,gini,stability_var,collapsed,t_collapse,U_per_agent
phase2,9,3,roundtable,M0,0,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 6, 2, 6, 2, 2, 2, 1]"
phase2,9,3,roundtable,M0,1,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 2, 6, 2, 6, 2, 2, 1]"
phase2,9,3,roundtable,M0,2,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[2, 2, 6, 6, 1, 2, 1, 2, 2]"
phase2,9,3,roundtable,M1,0,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 6, 2, 6, 2, 2, 2, 1]"
phase2,9,3,roundtable,M1,1,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 2, 6, 2, 6, 2, 2, 1]"
phase2,9,3,roundtable,M1,2,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[2, 2, 6, 6, 1, 2, 1, 2, 2]"
phase2,9,3,roundtable,M2,0,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 6, 2, 6, 2, 2, 2, 1]"
phase2,9,3,roundtable,M2,1,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 2, 6, 2, 6, 2, 2, 1]"
phase2,9,3,roundtable,M2,2,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[2, 2, 6, 6, 1, 2, 1, 2, 2]"
phase2,9,3,mediator,M0,0,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 6, 2, 6, 2, 2, 2, 1]"
phase2,9,3,mediator,M0,1,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 2, 6, 2, 6, 2, 2, 1]"
phase2,9,3,mediator,M0,2,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[2, 2, 6, 6, 1, 2, 1, 2, 2]"
phase2,9,3,mediator,M1,0,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 6, 2, 6, 2, 2, 2, 1]"
phase2,9,3,mediator,M1,1,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 2, 6, 2, 6, 2, 2, 1]"
phase2,9,3,mediator,M1,2,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[2, 2, 6, 6, 1, 2, 1, 2, 2]"
phase2,9,3,mediator,M2,0,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 6, 2, 6, 2, 2, 2, 1]"
phase2,9,3,mediator,M2,1,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[1, 2, 2, 6, 2, 6, 2, 2, 1]"
phase2,9,3,mediator,M2,2,24,0.5555555555555556,0.32407407407407396,0.05555555555555555,1,1,"[2, 2, 6, 6, 1, 2, 1, 2, 2]"
